SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.07403045562135688, 0.0004241321780901565
SF2H, DotPredictor(), time_tensor, spearmanr@100, -0.036106077817127, 0.08594023855296237
SF2H, DotPredictor(), DTFT, spearmanr@100, -0.008838124103424985, 0.6743289016551612
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.15095021186747362, 5.264842213804892e-13
SF2H, CosinePredictor(), agg_simp, spearmanr@100, -0.16603731779045836, 1.8736456621206226e-15
SF2H, CosinePredictor(), agg, spearmanr@100, -0.1634808469503489, 5.0624243626604144e-15
SF2H, CosinePredictor(), agg, spearmanr@100, -0.1543981327784787, 1.522927743867779e-13
SF2H, CosinePredictor(), temporal_edges, spearmanr@100, 0.06805088145221357, 0.0011985909638098974
SF2H, CosinePredictor(), time_tensor, spearmanr@100, -0.11905595666015203, 1.3414749169936289e-08
SF2H, CosinePredictor(), DTFT, spearmanr@100, -0.10081223302849636, 1.544924874733283e-06
HighSchool, CosinePredictor(), agg_simp, spearmanr@100, -0.15671850458256378, 0.017382287016399444
HighSchool, CosinePredictor(), agg_simp, spearmanr@100, -0.16595119329123503, 0.011716698556289736
HighSchool, CosinePredictor(), agg, spearmanr@100, -0.14361757475484455, 0.029443129773365856
HighSchool, CosinePredictor(), agg, spearmanr@100, -0.16847511706064958, 0.010483739211943096
HighSchool, CosinePredictor(), temporal_edges, spearmanr@100, 0.12750943759107797, 0.05346695902196417
HighSchool, CosinePredictor(), time_tensor, spearmanr@100, -0.02577528793591068, 0.6973971618054318
HighSchool, CosinePredictor(), DTFT, spearmanr@100, -0.05414206071126518, 0.41379648485663667
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@100, -0.12119517320859602, 0.03683998260730604
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@100, -0.12320145038265844, 0.03380804549401223
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@100, -0.11675525433914698, 0.04437620634289436
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@100, -0.1198773514209756, 0.03895442022636729
ia-contacts_hypertext2009, CosinePredictor(), temporal_edges, spearmanr@100, 0.028920622880354428, 0.6196044036542196
ia-contacts_hypertext2009, CosinePredictor(), time_tensor, spearmanr@100, -0.05917967998504911, 0.3094034835313604
ia-contacts_hypertext2009, CosinePredictor(), DTFT, spearmanr@100, -0.07979165865071906, 0.17022117285655836
