SF2H, DotPredictor(), temporal_edges, spearmanr@25, 0.09602077200329147, 0.004927744238089584
SF2H, CosinePredictor(), temporal_edges, spearmanr@25, 0.15834273193206685, 3.2344860290738686e-06
SF2H, CosinePredictor(), time_tensor, spearmanr@25, -0.007724701124560275, 0.821451570921206
SF2H, CosinePredictor(), DTFT, spearmanr@25, -0.005311045309759639, 0.8766937457193598
HighSchool, CosinePredictor(), agg_simp, spearmanr@25, -0.0545782906464021, 0.5028198527776655
HighSchool, CosinePredictor(), agg_simp, spearmanr@25, -0.06123932826719204, 0.4520614005470185
HighSchool, CosinePredictor(), agg, spearmanr@25, -0.04070336268478683, 0.6173912593834221
HighSchool, CosinePredictor(), agg, spearmanr@25, -0.06963263774409284, 0.3923942178881763
HighSchool, CosinePredictor(), temporal_edges, spearmanr@25, 0.1832555988902738, 0.023366161342625636
HighSchool, CosinePredictor(), time_tensor, spearmanr@25, 0.060887512899896794, 0.45466848729614284
HighSchool, CosinePredictor(), DTFT, spearmanr@25, 0.08482771098870169, 0.29716303244615305
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@25, 0.00865800865800866, 0.9499768634020278
ia-contacts_hypertext2009, CosinePredictor(), agg_simp, spearmanr@25, 0.03593073593073594, 0.7945297606849133
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@25, -0.05663780663780665, 0.6812782902758596
ia-contacts_hypertext2009, CosinePredictor(), agg, spearmanr@25, 0.05699855699855701, 0.6793577363954004
ia-contacts_hypertext2009, CosinePredictor(), temporal_edges, spearmanr@25, 0.2858585858585859, 0.03437396536159462
ia-contacts_hypertext2009, CosinePredictor(), time_tensor, spearmanr@25, -0.10238095238095239, 0.45700021652829936
ia-contacts_hypertext2009, CosinePredictor(), DTFT, spearmanr@25, -0.01753246753246754, 0.898902838614523
